product_name,price_usd,rating,number_of_reviews,gender_target,cruelty_free,country_of_origin,gender_id,country_id
Perfect Concealer,40.17,2.1,6895,Female,True,Australia,1,1
Magic Lip Liner,43.28,3.4,1567,Female,True,Australia,1,1
Magic Powder,108.74,4.0,5921,Female,False,UK,1,7
Ultra Lip Gloss,78.36,1.9,3534,Male,False,USA,2,8
Ultra Exfoliator,46.74,1.2,6838,Female,True,USA,1,8
Super BB Cream,97.76,1.9,7701,Male,True,Germany,2,3
Super Eyeliner,137.54,1.9,2124,Male,True,Australia,2,1
Ultra Lip Liner,92.26,1.3,9864,Female,True,USA,1,8
Divine Concealer,79.18,1.0,7201,Unisex,False,Italy,3,4
Perfect Mascara,83.29,2.3,4336,Unisex,False,Japan,3,5
Ultra Primer,64.4,4.0,6745,Male,True,USA,2,8
Perfect Exfoliator,133.83,2.5,2589,Male,False,USA,2,8
Ultra Eyeliner,11.24,3.1,8830,Female,False,UK,1,7
Super Eye Shadow,23.43,4.8,5322,Unisex,False,UK,3,7
Magic Mascara,57.18,2.1,1421,Unisex,True,UK,3,7
Divine Primer,102.88,4.6,9311,Male,False,USA,2,8
Perfect Concealer,142.44,4.2,451,Male,False,USA,2,8
Perfect Lip Liner,39.89,4.6,3914,Male,False,South Korea,2,6
Super Exfoliator,23.98,1.5,8320,Female,False,Japan,1,5
Super Eyeliner,112.59,4.7,7668,Female,False,Italy,1,4
Super Makeup Remover,148.49,1.1,3368,Unisex,False,France,3,2
Perfect Eye Shadow,33.77,4.3,442,Unisex,True,South Korea,3,6
Ultra Cleanser,27.29,3.5,6783,Unisex,False,France,3,2
Perfect Lip Liner,147.41,4.5,2448,Female,True,France,1,2
Magic Setting Spray,45.24,1.6,9014,Female,False,Australia,1,1
Perfect Mascara,13.42,1.3,6389,Female,True,Australia,1,1
Magic Serum,44.25,3.6,7779,Male,False,Japan,2,5
Magic Highlighter,100.75,2.0,270,Female,True,South Korea,1,6
Divine Moisturizer,40.73,2.9,4891,Female,True,Italy,1,4
Magic Contour,82.79,2.2,2172,Female,False,Australia,1,1
Super Concealer,129.35,4.8,2964,Unisex,True,UK,3,7
Magic Lipstick,76.05,1.4,9536,Unisex,False,Australia,3,1
Divine CC Cream,123.79,2.0,8183,Unisex,True,Italy,3,4
Ultra Lipstick,113.13,3.6,138,Female,True,Germany,1,3
Perfect Setting Spray,27.41,1.6,6213,Male,False,USA,2,8
Ultra Eyeliner,89.35,2.1,7837,Female,False,Australia,1,1
Magic Face Oil,108.45,4.9,7641,Female,False,Australia,1,1
Ultra CC Cream,55.75,3.6,6536,Male,False,Italy,2,4
Super Face Oil,148.58,2.8,93,Unisex,False,France,3,2
Ultra Blush,115.69,2.2,4621,Unisex,True,USA,3,8
Super Face Mask,71.83,1.8,870,Male,True,France,2,2
Divine Cleanser,48.37,2.8,5551,Female,True,UK,1,7
Super Highlighter,130.52,1.3,662,Female,True,South Korea,1,6
Perfect Mascara,24.44,2.6,5826,Unisex,False,South Korea,3,6
Ultra Eyeliner,136.35,2.1,9142,Unisex,False,Germany,3,3
Super Face Oil,21.42,4.3,461,Unisex,False,Italy,3,4
Divine Primer,18.3,1.5,7630,Unisex,True,Italy,3,4
Perfect BB Cream,53.85,1.7,5979,Unisex,True,South Korea,3,6
Perfect Lip Liner,51.03,4.0,3838,Unisex,True,Germany,3,3
Divine Setting Spray,15.99,3.3,6559,Female,False,Australia,1,1
Magic Lip Liner,100.05,1.1,743,Male,False,Germany,2,3
Super Mascara,95.4,4.0,2192,Male,False,South Korea,2,6
Ultra Cleanser,52.06,3.7,8047,Female,False,Japan,1,5
Magic Highlighter,110.71,2.2,5384,Unisex,False,Australia,3,1
Perfect Foundation,31.89,3.2,6463,Female,False,Germany,1,3
Divine Cleanser,58.92,4.2,3820,Unisex,False,UK,3,7
Super Highlighter,54.65,4.9,7666,Female,False,UK,1,7
Perfect Highlighter,148.17,2.0,6541,Unisex,True,South Korea,3,6
Perfect Lip Gloss,119.22,2.8,8082,Unisex,True,France,3,2
Divine CC Cream,143.59,1.2,9635,Female,False,South Korea,1,6
Divine Eye Shadow,116.47,3.6,9048,Female,True,UK,1,7
Ultra Eye Shadow,35.66,2.7,3081,Male,False,Italy,2,4
Perfect Primer,37.4,2.6,5029,Female,False,Germany,1,3
Super Contour,144.29,3.0,1718,Male,False,USA,2,8
Perfect Contour,104.34,1.9,401,Male,False,Australia,2,1
Magic Cleanser,84.07,3.8,3362,Female,True,South Korea,1,6
Ultra Mascara,104.9,4.5,6379,Female,False,USA,1,8
Super BB Cream,131.63,3.6,9990,Female,False,South Korea,1,6
Super Setting Spray,114.6,2.4,991,Unisex,True,South Korea,3,6
Perfect Lipstick,40.81,3.8,8723,Unisex,False,Italy,3,4
Ultra Lipstick,11.44,1.8,3305,Male,True,Germany,2,3
Magic Eye Shadow,127.76,2.3,8587,Female,False,Australia,1,1
Ultra Blush,76.92,1.3,9889,Male,True,South Korea,2,6
Ultra Blush,120.91,3.2,5159,Unisex,True,UK,3,7
Super Primer,67.32,1.5,6102,Female,True,France,1,2
Ultra BB Cream,87.39,2.6,4846,Male,False,USA,2,8
Super Face Mask,85.83,4.6,8613,Male,True,Japan,2,5
Perfect Powder,47.15,4.1,6406,Unisex,False,USA,3,8
Divine Bronzer,103.0,5.0,9904,Unisex,True,Australia,3,1
Magic Setting Spray,113.65,2.3,3028,Unisex,True,Australia,3,1
Ultra Makeup Remover,96.37,2.2,776,Male,False,Italy,2,4
Super BB Cream,70.72,1.6,8753,Unisex,True,USA,3,8
Divine Primer,114.3,2.7,3174,Unisex,False,Italy,3,4
Magic Blush,55.93,3.3,8919,Female,False,Australia,1,1
Divine Lip Gloss,134.96,4.7,5283,Male,False,UK,2,7
Ultra Bronzer,43.32,1.7,1448,Female,False,South Korea,1,6
Magic Bronzer,40.31,4.9,7779,Female,True,USA,1,8
Magic Mascara,31.57,4.0,6269,Female,True,Japan,1,5
Magic Blush,96.34,3.9,8488,Female,True,Australia,1,1
Perfect Serum,101.91,1.9,4422,Male,True,USA,2,8
Divine Mascara,10.2,1.8,7814,Unisex,True,Italy,3,4
Super Lip Gloss,63.5,3.2,4547,Female,True,Japan,1,5
Perfect Eye Shadow,119.63,2.2,3089,Male,False,USA,2,8
Divine Highlighter,147.67,1.0,9889,Female,True,Japan,1,5
Ultra Serum,70.24,2.4,5240,Unisex,True,USA,3,8
Super Blush,86.98,1.8,8258,Unisex,False,USA,3,8
Super Lip Liner,145.28,4.7,766,Female,True,Italy,1,4
Super Setting Spray,63.09,1.3,8611,Unisex,True,France,3,2
Divine BB Cream,86.62,4.3,6736,Unisex,False,Germany,3,3
Super Face Oil,107.2,4.6,9835,Male,True,UK,2,7
Super Contour,107.24,4.4,3865,Female,False,South Korea,1,6
Super Bronzer,86.57,1.2,5072,Female,True,Italy,1,4
Divine Eye Shadow,106.8,3.5,8552,Unisex,True,France,3,2
Divine BB Cream,57.84,4.3,9804,Female,True,Italy,1,4
Divine Lipstick,79.2,4.5,7625,Male,True,Japan,2,5
Super Face Oil,95.98,1.3,8285,Unisex,False,Germany,3,3
Divine Primer,91.97,4.5,4038,Unisex,True,Italy,3,4
Divine CC Cream,126.27,1.5,5729,Male,False,Germany,2,3
Magic Mascara,148.03,1.8,855,Female,False,Germany,1,3
Magic Moisturizer,18.16,3.5,7572,Male,False,Australia,2,1
Ultra BB Cream,148.16,2.9,4420,Unisex,True,Italy,3,4
Divine Mascara,68.59,3.3,3530,Female,False,USA,1,8
Magic Powder,101.28,4.2,6529,Male,True,France,2,2
Magic BB Cream,85.46,3.7,5907,Unisex,True,South Korea,3,6
Super Mascara,108.6,2.7,4371,Male,False,Italy,2,4
Magic Exfoliator,33.72,4.4,1242,Male,False,Italy,2,4
Ultra BB Cream,17.88,2.8,1262,Unisex,True,France,3,2
Ultra Eyeliner,57.37,4.6,3254,Unisex,False,France,3,2
Magic Face Mask,90.53,2.6,2864,Male,True,Australia,2,1
Divine Primer,141.54,4.7,1433,Unisex,True,France,3,2
Super Blush,54.79,1.1,7425,Unisex,True,Germany,3,3
Ultra Concealer,51.94,1.5,2735,Unisex,False,South Korea,3,6
Perfect Face Oil,74.3,1.7,9875,Unisex,True,Australia,3,1
Ultra Moisturizer,22.41,4.0,7505,Female,False,Australia,1,1
Ultra Foundation,115.5,1.5,6391,Female,True,Australia,1,1
Divine Lipstick,72.31,2.7,6582,Unisex,False,Italy,3,4
Perfect Concealer,116.87,4.0,774,Female,False,France,1,2
Perfect Lip Liner,23.24,2.9,7651,Female,False,Japan,1,5
Ultra Setting Spray,52.39,2.8,1733,Unisex,True,South Korea,3,6
Magic Cleanser,77.73,4.3,6990,Female,False,Australia,1,1
Ultra Contour,11.07,2.6,6608,Female,True,France,1,2
Super Serum,79.14,4.6,4266,Female,False,USA,1,8
Magic Lip Liner,37.65,3.1,4615,Unisex,True,South Korea,3,6
Perfect Makeup Remover,31.52,1.5,1882,Male,False,USA,2,8
Perfect Concealer,85.74,2.8,9124,Unisex,False,Australia,3,1
Divine Foundation,32.99,4.4,5787,Female,False,Italy,1,4
Ultra CC Cream,119.6,4.5,2812,Female,False,USA,1,8
Magic Foundation,120.89,2.9,2995,Unisex,False,Australia,3,1
Perfect Blush,136.64,2.3,9817,Male,True,UK,2,7
Super Lip Gloss,105.97,3.8,6705,Female,True,Italy,1,4
Super Blush,142.12,3.4,9423,Female,True,Australia,1,1
Perfect Eye Shadow,103.69,4.8,6741,Male,True,USA,2,8
Perfect Powder,79.97,1.8,8236,Unisex,False,UK,3,7
Ultra Blush,44.62,4.1,7991,Female,True,UK,1,7
Divine Primer,136.24,4.7,1645,Male,False,Italy,2,4
Perfect Highlighter,146.43,3.4,946,Unisex,True,Japan,3,5
Perfect Eyeliner,129.74,2.0,2946,Unisex,True,USA,3,8
Ultra Cleanser,73.44,2.0,3142,Unisex,True,South Korea,3,6
Perfect Makeup Remover,60.46,3.5,4261,Female,True,France,1,2
Divine BB Cream,42.04,2.4,3548,Unisex,True,France,3,2
Divine Bronzer,38.4,4.6,5068,Male,False,UK,2,7
Super Lip Liner,108.54,4.8,999,Unisex,True,Australia,3,1
Super Foundation,25.85,3.8,5070,Female,False,Australia,1,1
Divine Exfoliator,142.82,2.5,9883,Female,True,Japan,1,5
Perfect BB Cream,142.43,4.6,2351,Male,True,USA,2,8
Ultra Serum,109.25,4.2,3562,Male,True,Germany,2,3
Divine Serum,63.82,2.1,1558,Male,False,South Korea,2,6
Divine Highlighter,96.57,1.6,4649,Female,False,Australia,1,1
Ultra Highlighter,81.47,3.5,7022,Male,True,South Korea,2,6
Magic Serum,65.82,1.3,5002,Female,False,South Korea,1,6
Perfect Powder,64.75,3.5,1783,Unisex,True,Japan,3,5
Super Cleanser,65.16,3.9,6707,Female,False,Australia,1,1
Divine Concealer,132.63,4.7,6350,Unisex,False,Italy,3,4
Ultra BB Cream,35.49,1.4,3418,Female,False,USA,1,8
Magic Concealer,104.76,2.5,5584,Male,True,UK,2,7
Divine Primer,126.62,3.1,228,Unisex,True,Italy,3,4
Divine Highlighter,102.31,4.8,3220,Female,True,South Korea,1,6
Perfect CC Cream,45.99,2.5,4133,Unisex,True,South Korea,3,6
Divine BB Cream,103.16,2.4,1202,Unisex,True,Australia,3,1
Perfect Eyeliner,32.02,4.8,6744,Male,False,UK,2,7
Perfect Contour,109.15,2.5,8361,Female,True,Japan,1,5
Super BB Cream,57.36,3.8,3738,Male,True,Australia,2,1
Ultra Concealer,121.9,1.7,6124,Unisex,True,Germany,3,3
Magic Bronzer,135.32,1.1,2457,Female,False,USA,1,8
Super Contour,94.19,3.9,6048,Male,True,Italy,2,4
Ultra Primer,141.56,1.6,1947,Female,True,Australia,1,1
Divine Face Mask,20.84,4.0,5919,Male,False,Japan,2,5
Ultra Face Oil,19.66,2.2,9700,Unisex,True,Australia,3,1
Divine Lip Gloss,137.69,3.5,5234,Male,False,Australia,2,1
Magic Lip Gloss,68.32,1.6,499,Female,False,USA,1,8
Ultra CC Cream,25.07,1.3,1556,Unisex,False,Japan,3,5
Magic Lip Liner,110.26,1.0,1018,Female,True,Italy,1,4
Divine CC Cream,74.56,1.2,8198,Unisex,True,Germany,3,3
Divine Foundation,92.06,1.9,1332,Male,False,Italy,2,4
Magic Serum,96.46,4.4,3308,Unisex,True,South Korea,3,6
Divine Serum,18.93,3.1,6253,Unisex,True,USA,3,8
Divine Lip Gloss,64.03,2.5,9528,Male,True,Japan,2,5
Magic Lipstick,48.94,1.7,9317,Unisex,True,Italy,3,4
Ultra Lipstick,87.32,2.3,9796,Unisex,True,Germany,3,3
Ultra Blush,67.11,3.6,9943,Unisex,False,UK,3,7
Ultra BB Cream,126.39,4.2,5702,Male,True,South Korea,2,6
Magic Face Mask,32.63,1.3,3151,Unisex,True,Japan,3,5
Divine Moisturizer,106.19,1.1,1641,Unisex,False,USA,3,8
Super Primer,58.78,1.5,6828,Male,False,Australia,2,1
Super CC Cream,26.93,3.7,7245,Male,False,Australia,2,1
Super Face Oil,86.84,2.7,8121,Female,True,Australia,1,1
Magic Face Oil,39.89,1.2,7009,Unisex,False,France,3,2
Ultra Concealer,107.98,4.5,8426,Unisex,False,UK,3,7
Ultra Lip Liner,82.61,4.7,1095,Female,True,Japan,1,5
Super CC Cream,123.56,3.1,9117,Female,False,South Korea,1,6
Magic Powder,62.36,1.1,9612,Female,True,Italy,1,4
Divine Setting Spray,144.37,3.8,6481,Female,True,France,1,2
Divine Highlighter,86.6,1.2,3279,Unisex,True,Germany,3,3
Divine CC Cream,20.52,1.3,6202,Male,True,Australia,2,1
Perfect CC Cream,126.55,2.9,7858,Female,True,Japan,1,5
Perfect Lipstick,67.49,3.6,7961,Female,False,France,1,2
Super Moisturizer,56.61,3.0,9695,Unisex,True,UK,3,7
Magic Powder,33.02,1.3,9341,Unisex,False,France,3,2
Divine Cleanser,63.63,4.5,6366,Unisex,True,Germany,3,3
Perfect Cleanser,60.11,2.6,6222,Unisex,False,Italy,3,4
Super Setting Spray,13.48,2.5,1724,Unisex,False,Germany,3,3
Perfect Setting Spray,24.25,4.4,1836,Male,False,Australia,2,1
Super Lip Gloss,47.15,1.1,2696,Female,False,Japan,1,5
Magic Face Mask,62.29,4.8,1078,Unisex,False,Germany,3,3
Super Contour,28.98,3.3,4397,Male,False,Italy,2,4
Super Primer,76.67,4.7,2896,Male,True,Japan,2,5
Divine Eyeliner,95.91,3.9,3941,Female,False,Italy,1,4
Magic Powder,67.95,2.0,853,Female,True,Germany,1,3
Perfect Makeup Remover,90.85,4.1,147,Male,True,Australia,2,1
Perfect Exfoliator,34.58,1.6,7972,Male,True,France,2,2
Super Exfoliator,11.82,4.9,499,Female,False,UK,1,7
Divine Setting Spray,38.81,1.1,6897,Unisex,True,Japan,3,5
Divine CC Cream,63.73,4.9,2341,Male,True,UK,2,7
Super Bronzer,139.34,4.2,418,Female,True,Australia,1,1
Divine Foundation,132.98,1.7,1110,Male,True,Australia,2,1
Divine Eye Shadow,100.55,3.2,3552,Female,False,USA,1,8
Divine CC Cream,55.35,4.8,9836,Unisex,False,Germany,3,3
Ultra Highlighter,59.29,4.1,4265,Male,True,Australia,2,1
Ultra Setting Spray,59.72,1.6,3906,Female,True,Australia,1,1
Perfect Moisturizer,14.83,3.6,2831,Female,False,Italy,1,4
Super Cleanser,139.22,3.5,8580,Male,True,South Korea,2,6
Ultra Primer,96.78,1.8,6338,Male,False,Italy,2,4
Magic Blush,80.95,4.2,9533,Unisex,True,Australia,3,1
Ultra Mascara,73.16,3.0,1840,Female,False,South Korea,1,6
Divine Contour,23.93,2.5,2855,Female,True,USA,1,8
Super Primer,140.09,3.7,1418,Female,True,Australia,1,1
Magic Blush,120.72,2.6,9027,Male,False,Japan,2,5
Ultra Face Mask,76.2,4.5,5291,Unisex,True,France,3,2
Ultra Makeup Remover,103.95,3.4,7355,Female,True,UK,1,7
Divine Serum,134.74,1.1,6700,Unisex,False,Australia,3,1
Super Lip Gloss,36.54,3.5,3958,Male,True,Italy,2,4
Divine Moisturizer,12.24,2.6,7870,Unisex,True,Germany,3,3
Perfect Concealer,133.89,2.2,5023,Unisex,False,Italy,3,4
Magic Face Mask,71.44,3.9,5316,Female,False,South Korea,1,6
Magic Face Mask,96.29,3.6,2059,Male,True,France,2,2
Ultra Bronzer,28.05,5.0,4094,Male,True,South Korea,2,6
Divine Face Oil,68.57,3.4,3896,Male,False,South Korea,2,6
Divine Primer,144.6,2.1,114,Female,False,Japan,1,5
Magic Face Mask,145.06,3.9,8237,Unisex,False,UK,3,7
Perfect Eye Shadow,29.47,1.8,6841,Unisex,False,Japan,3,5
Divine Face Mask,99.03,4.0,3641,Male,True,Germany,2,3
Divine Exfoliator,133.27,2.4,6058,Male,False,Germany,2,3
Perfect Highlighter,87.82,3.9,3154,Unisex,True,UK,3,7
