product_id,product_name,price_usd,rating,reviews,category_id
P433906,Rose De Grasse,260.0,4.53,36,2
P433901,Ikat Jasmine Travel Spray,35.0,4.0,13,2
P454826,Wild Geranium Travel Spray,35.0,4.33,21,2
P410846,Tangier Vanille,145.0,3.69,39,2
P460780,Hibiscus Palm Eau de Parfum Travel Spray,35.0,4.07,14,2
P481055,Mediterranean Honeysuckle Mimosa Eau de Parfum,135.0,3.2,10,2
P454825,Wild Geranium,145.0,4.67,24,2
P442516,Mini Aegea Blossom Eau de Parfum Travel Spray,35.0,3.71,17,2
P442515,Aegea Blossom Eau de Parfum,145.0,4.35,17,2
P475043,Cedar Violet Eau de Parfum Travel Spray,35.0,3.36,14,2
P504777,Perfume Sampler Discovery Set,25.0,4.29,123,2
P475042,Cedar Violet Eau de Parfum,145.0,3.36,14,2
P504686,Mediterranean Honeysuckle Clementina,145.0,3.5,4,2
P471527,Rose De Grasse Pour Filles Eau de Parfum,100.0,2.0,1,2
P481056,Mediterranean Honeysuckle Mimosa Eau de Parfum Travel Spray,30.0,4.29,123,2
P439055,GENIUS Sleeping Collagen Moisturizer,98.0,4.54,1321,7
P421277,GENIUS Liquid Collagen Serum,115.0,4.03,1159,7
P467602,Triple Algae Eye Renewal Balm Eye Cream,68.0,4.53,1142,7
P432045,GENIUS Liquid Collagen Lip Treatment,29.0,3.87,649,7
P311143,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,28.0,4.41,508,7
P384537,GENIUS Ultimate AntiAging Cream,112.0,4.25,503,7
P388200,GENIUS Ultimate AntiAging Melting Cleanser,38.0,4.06,334,7
P296413,Gentle Rejuvenating Cleanser,28.0,4.27,264,7
P500716,10 Day Results Kit,88.0,4.8,258,7
P379907,Advanced AntiAging Repairing Oil,82.0,4.45,245,7
P296415,Overnight Restorative Cream,94.0,4.38,239,7
P392945,GENIUS Ultimate AntiAging Vitamin C Serum,118.0,3.98,229,7
P282935,Regenerative AntiAging Moisturizer,94.0,4.27,221,7
P474809,Blue Algae Vitamin C Skinclarity Brightening Serum,72.0,4.61,207,7
P416552,POWER Recharging Night Pressed Serum,95.0,4.39,205,7
P471000,Algae Niacinamide Moisture Veil,65.0,4.7,169,7
P480274,GENIUS Liquid Skin Resurfacing 2 BHA Toner,40.0,4.79,165,7
P453818,GENIUS Collagen Calming Relief,58.0,4.46,125,7
P442859,ALIVE Prebiotic Balancing Mask,38.0,4.37,118,7
P388262,GENIUS Ultimate AntiAging Eye Cream,74.0,3.78,116,7
P457694,Blue Algae Vitamin C Dark Spot Correcting Peel,85.0,4.21,108,7
P447504,AA (Alguronic Acid) Barrier Serum,85.0,3.97,100,7
P404169,POWER Advanced Wrinkle Fighter 360 Eye Serum,70.0,4.02,87,7
P404168,POWER Advanced Wrinkle Fighter Moisturizer,85.0,4.18,77,7
P449163,GENIUS Liquid Collagen Hand Cream,38.0,4.18,40,1
P433469,ELEVATE Advanced Retinol Serum,98.0,4.1,39,7
P420638,ELEVATE Advanced Lift Contouring Cream,96.0,4.32,37,7
P456990,Mini GENIUS Liquid Collagen,25.0,3.44,34,7
P410809,ELEVATE Firming  Lifting Contouring Eye Cream,72.0,3.26,31,7
P442860,ALIVE Prebiotic Balancing Moisturizer SPF 15,40.0,3.2,30,7
P449164,ELEVATE Firming  Lifting Neck Cream,84.0,3.89,18,7
P504443,Plump Pout Duo,44.0,3.0,1,7
P503998,Algae Peptide Regenerative Moisturizer,98.0,4.29,123,7
P440949,Liquid Gold Exfoliating Treatment with Glycolic acid,56.0,4.51,915,7
P442540,Vitamin A Serum with 05 Retinol,65.0,4.36,95,7
P442539,Vitamin B Serum with 5 Niacinamide and Peptides,65.0,4.26,84,7
P442546,Balancing Cleanser,38.0,4.55,77,7
P442548,Mini Liquid Gold Exfoliating Treatment with Glycolic Acid,22.0,4.0,34,7
P442537,Liquid Gold Firming Eye Cream,82.0,3.88,17,7
P480150,Liquid Gold Midnight Reboot Serum with 14 Glycolic Acid and Tripeptide5,105.0,5.0,16,7
P442542,Beauty Sleep Power Peel AgeDefying Night Peel,106.0,4.6,15,7
P442545,Triple Action Cleanser,38.0,4.25,12,7
P455237,Melt Moisturizer with Bakuchiol and Squalane,60.0,4.51,465,7
P465741,Wild Huckleberry 8Acid Polishing Peel Mask,56.0,4.68,347,7
P472302,Wild Nettle  Niacinamide Instant Firming Serum,58.0,4.76,287,7
P455613,LineFilling Eye Cream with Bakuchiol and Caffeine,62.0,4.32,262,7
P503197,Juneberry  Collagen Hydrating Cold Cream Cleanser,39.0,4.89,238,7
P477492,Triple Vitamin C Brightening Bounce Cream Moisturizer,49.0,4.54,225,7
P455614,Creamy Bubbling Cleanser with Vitamin C  AHAs,36.0,4.38,167,7
P455612,Vitamin C  Bearberry Instant Glow Serum,59.0,4.5,167,7
P483643,Willow  Sweet Agave Plumping Lip Mask,28.0,4.54,148,7
P505338,Pore Perfecting Liquid Exfoliator with 2 BHA  Borage,39.0,4.92,91,7
P481058,Mini Melt Moisturizer with Bakuchiol and Squalane,25.0,4.58,31,7
P483644,Mini Wild Huckleberry 8Acid Polishing Peel Mask,23.0,4.85,20,6
P503262,Peel and Plump SkinSmoothing Duo,49.0,4.89,18,7
P378716,CAVIAR AntiAging Replenishing Moisture CC Cream,30.0,4.02,1721,3
P269705,CAVIAR AntiAging Replenishing Moisture Shampoo,35.0,4.25,963,3
P269706,CAVIAR AntiAging Replenishing Moisture Conditioner,55.0,4.45,890,3
P309412,Caviar AntiAging Clinical Densifying Scalp Treatment,38.0,4.01,242,3
P405297,CAVIAR AntiAging Multiplying Volume Styling Mist,30.0,4.27,391,3
P419632,CAVIAR AntiAging Smoothing AntiFrizz Dry Oil Mist,34.0,4.37,213,3
P269714,CAVIAR AntiAging Working Hairspray,26.0,4.43,157,3
P428076,CAVIAR AntiAging Smoothing AntiFrizz Blowout Butter,35.0,4.13,208,3
P309411,CAVIAR AntiAging Clinical Densifying Shampoo,34.0,4.13,166,3
P384770,CAVIAR AntiAging Smoothing AntiFrizz Nourishing Oil,38.0,4.06,130,3
P391910,CAVIAR AntiAging Clinical Densifying Styling Mousse,38.0,4.52,122,3
P435932,CAVIAR AntiAging Restructuring Bond Repair LeaveIn Heat Protection Spray,32.0,4.15,119,3
P405298,CAVIAR AntiAging Multiplying Volume Shampoo,35.0,3.91,126,3
P441825,CAVIAR AntiAging Rapid Blowout Balm,32.0,4.69,192,3
P435934,CAVIAR AntiAging Restructuring Bond Repair 3in1 Sealing Serum,38.0,4.01,199,3
P410833,CAVIAR AntiAging Replenishing Moisture LeaveIn Smoothing Gelee,30.0,4.19,102,3
P435933,CAVIAR AntiAging Restructuring Bond Repair LeaveIn Overnight Serum,40.0,4.38,452,3
P374562,CAVIAR AntiAging Perfect Iron Spray,32.0,4.2,159,3
P405299,CAVIAR AntiAging Multiplying Volume Conditioner,36.0,4.15,102,3
P269707,CAVIAR AntiAging Replenishing Moisture Masque,45.0,3.94,95,3
P416598,CAVIAR AntiAging Infinite Color Hold DualUse Serum,36.0,4.6,94,3
P441826,CAVIAR AntiAging Replenishing Moisture Priming LeaveIn Conditioner,32.0,4.45,205,3
P405300,CAVIAR AntiAging Multiplying Volume Styling Mousse,32.0,4.24,21,3
P448859,Caviar AntiAging Smoothing AntiFrizz AirDry Balm,32.0,4.16,64,3
P435931,CAVIAR AntiAging Restructuring Bond Repair LeaveIn Protein Cream,37.0,3.33,18,3
P416404,CAVIAR AntiAging Infinite Color Hold Shampoo,35.0,4.08,36,3
P428074,CAVIAR AntiAging Smoothing AntiFrizz Shampoo,35.0,4.39,116,3
P441638,CAVIAR AntiAging Perfect Texture Spray,30.0,4.53,89,3
P428075,CAVIAR AntiAging Smoothing AntiFrizz Conditioner,36.0,4.15,112,3
P416403,CAVIAR AntiAging Infinite Color Hold Conditioner,36.0,4.0,20,3
P479628,Restructuring Bond Repair Masque,50.0,4.87,31,3
P463601,Alterna Haircare Caviar AntiAging Clinical Densifying Shampoo,38.0,4.42,69,3
P484022,Renewing Exfoliating Scalp ScrubtoFoam,48.0,4.86,65,3
P482656,Replenishing Moisture Jumbo Trio,100.0,3.67,3,3
P476830,My Hair My Canvas  Meltaway NoRinse Micellar Cleanser,29.0,3.79,124,3
P472305,CAVIAR AntiAging Restructuring Bond Repair Conditioner,56.0,4.96,27,3
P463015,Alterna Haircare Caviar AntiAging Clinical Densifying Foam Conditioner,38.0,4.56,66,3
P476826,MHMC New Beginnings Exfoliating Cleanser,30.0,4.19,164,3
P472303,CAVIAR AntiAging Restructuring Bond Repair Shampoo,35.0,4.63,35,3
P484023,Renewing Scalp LeaveIn Treatment with Hemp,48.0,4.82,62,3
P484024,Renewing Scalp Care Peppermint LeaveIn Treatment,48.0,4.59,64,3
P476827,My Hair My Canvas Me Time Every Day Shampoo,28.0,4.22,160,3
P476828,My Hair My Canvas  Me Time Everyday Conditioner,28.0,4.26,156,3
P476829,My Hair My Canvas  Cool Hydrations Nourishing Masque,35.0,4.06,123,3
P463016,Clinical Densifying Styling Mousse,38.0,4.29,123,3
P503741,Lip Treatment Oil,20.0,4.71,95,4
P503754,SkinEnhancing Tinted Moisturizer,32.0,4.9,58,4
P503762,LashAmplifying Volumizing  Lengthening Mascara,19.0,4.18,38,4
P503732,Skin Melt TalcFree Loose Setting Powder,22.0,4.57,21,4
P503763,LightCatching Highlighter Balm,22.0,4.75,8,4
P503767,SkinEnhancing Concealer,24.0,4.64,14,4
P503759,UltraFlex Clear Eyebrow Shaping Gel,20.0,4.89,9,4
P504779,Desert Date Cream Blush  Lip Multistick,22.0,5.0,4,4
P503731,"The Customizable Crew Set: Highlighter, Lip Oil, and Skin Tint Set",60.0,4.5,2,4
P404916,Soulfood Nourishing Hair Mask,32.0,4.4,1621,3
P393281,Perk Up TalcFree Dry Shampoo,28.0,4.41,2179,3
P484025,Dream Routine Overnight Hydrating Hair Mask,32.0,4.5,561,3
P426173,Mini Soulfood Nourishing Mask,18.0,4.08,235,6
P474810,The Kure Intense Bond Repair Hair Mask,40.0,4.53,159,3
P500747,Hydro Rush Intense Moisture LeaveIn Conditioner with Hyaluronic Acid,28.0,4.64,335,3
P404913,UnDone Volume and Matte Texture Spray,29.0,4.22,749,3
P442295,High Tide Deep Wave Hair Crimper,120.0,4.0,176,3
P468627,The Kure Bond Repair Conditioner for Damaged Hair,28.0,4.33,161,3
P501442,Good Vibes Only  Hydration  Repair Hair Mask Set,39.0,5.0,17,3
P468629,The Closer Instant Splitend Hair Repair Cream,28.0,4.37,115,3
P460000,Hair Blow Dryer Brush 20,100.0,3.28,125,3
P471529,Bust Your Brass Cool Blonde Purple Intense Repair Hair Mask,40.0,4.56,144,3
P431196,Normcore Sulfate Free Shampoo,23.0,3.33,139,3
P501705,Flash Instant Shine Hair Gloss Mask,28.0,4.44,108,3
P409703,Plus Size Volume  Body Mousse,30.0,4.26,85,3
P431197,Normcore Hydrating Conditioner,23.0,3.69,64,3
P431193,Curl Corps Curl Defining Cream,28.0,4.2,82,3
P501693,The Wizard Detangling Hair Primer,29.0,4.35,65,3
P426180,Mini UnDone Volume and Matte Texture Spray,10.0,3.94,17,6
P504002,Water Sign Hydrating Hair Oil with Hyaluronic Acid,32.0,3.8,45,3
P501708,Perk Up Plus Extended Clean Dry Shampoo,30.0,3.84,67,3
P420713,Velveteen Dream AntiFrizz Smoothing Conditioner,28.0,3.62,50,3
P500748,Hydro Rush Intense Moisture Shampoo with Hyaluronic Acid,26.0,3.88,198,3
P441833,Polished Perfection Thermal Straightening Brush 20,98.0,3.95,201,3
P431192,Curl Corps Curl Enhancing Hair Gel,28.0,4.22,73,3
P478535,Top Gloss Hair Shine Spray,29.0,4.16,25,3
P481409,The Kure MultiTask Repair Treatment,30.0,4.69,52,3
P500713,Hydro Rush Intense Moisture Conditioner with Hyaluronic Acid,26.0,3.92,190,3
P420708,Vault Sulfate Free Shampoo for ColorTreated Hair,23.0,3.55,69,3
P502586,Brooklyn Bombshell Blowout Spray,28.0,3.82,28,3
P471531,Bust Your Brass Blonde Purple Conditioner,28.0,4.29,51,3
P501714,The Kure Bond Repair Shampoo for Damaged Hair,28.0,4.3,61,3
P504128,Hydro Rush and Dream Routine Hair Hydration Set,58.0,3.62,16,3
P420709,Vault Conditioner for ColorTreated Hair,23.0,3.64,42,3
P458505,Fadeblock PreShampoo Color Seal,26.0,4.3,122,3
P473260,Power Hour Curl Refreshing Spray,28.0,3.4,10,3
P501713,Reset Exfoliating Jelly Scalp Scrub,28.0,4.4,10,3
P482657,Double Agent 2in1 Straightening Blow Dryer Brush,120.0,4.31,116,3
P501717,3D Volume and Thickening Shampoo,26.0,3.46,13,3
P501689,3D Daily LeaveIn Hair Thickening Treatment,38.0,4.67,3,3
P500290,High Tide Deep Waver Jumbo,120.0,4.43,44,3
P480275,Mini Perk Up TalcFree Dry Shampoo,15.0,3.43,7,3
P501698,Mini Perk Up Plus Extended Clean Dry Shampoo,16.0,4.38,8,3
P449574,Illuminati Diamond Ceramic Flat Iron,120.0,3.52,29,3
P501721,Bust Your Brass Blonde Purple Shampoo,28.0,4.11,19,3
P455574,The Conductor 1 Inch Precision Germanium Flat Iron,150.0,3.05,38,3
P449573,The CEO 360 Lightweight Powerhouse Hair Dryer,200.0,4.32,28,3
P501686,3D Volume and Thickening Conditioner,40.0,2.33,9,3
P202633,Brow Wiz UltraSlim Precision Brow Pencil,25.0,4.41,15885,4
P384060,"DIPBROW Waterproof, Smudge Proof Brow Pomade",21.0,4.67,11158,4
P404832,Eye Shadow Singles,12.0,4.47,790,4
P404831,Liquid Lipstick,20.0,3.83,4238,4
P409118,Modern Renaissance Eye Shadow Palette,45.0,4.79,9133,4
P58930227,Soft Glam Eyeshadow Palette,45.0,4.71,2858,4
P386335,Contour Kit,40.0,4.1,2399,4
P404827,Brow Definer 3in1 Triangle Tip,26.0,4.07,4127,4
P404830,Lip Gloss,16.0,4.46,1672,4
P406576,Sun Dipped Glow Kit,40.0,4.72,2176,4
P69304,Strong Hold Clear Brow Gel,22.0,4.42,4826,4
P69300,Ombre Effect Long Wearing Brow Powder Duo,23.0,4.7,5086,4
P468341,Brow Freeze Extreme Hold LaminatedLook Sculpting Wax,23.0,3.91,2293,4
P384059,Brush 12 Precision Brow Brush for Pomades  Gels,18.0,4.74,1551,4
P423925,Sugar Glow Kit,40.0,4.65,917,4
P454751,Mini Strong Hold Clear Brow Gel,9.0,4.19,90,4
P69517,Brush 7B Precision Brow Brush for Powders,18.0,4.68,1122,4
P410504,Stick Foundation,25.0,3.43,1868,4
P452735,Norvina False Lashes,12.0,4.26,749,4
P187202,Tinted Brow Gel,22.0,4.19,2640,4
P441838,DIPBROW Gel,20.0,3.79,1076,4
P480576,Matte  Satin Velvet Lipstick,23.0,4.61,1427,4
P420162,Blush Trio,30.0,4.66,470,4
P386783,Pro Pencil,18.0,4.06,360,4
P442999,DIPBROW Gel  Mini,9.0,3.34,573,4
P449124,Luminous Foundation,38.0,4.13,1902,4
P69305,Perfect Brow Pencil,23.0,4.44,2156,4
P480575,Lip Liner,18.0,4.66,1335,4
P450846,Norvina Pro Pigment Palette Vol 3 for Face  Body,60.0,4.6,193,4
P462328,Superfine MicroStroking Detail Brow Pen,22.0,3.97,866,4
P443753,Dewy Set Setting Spray,26.0,4.24,316,4
P448161,Norvina Pro Pigment Palette Vol 1 for Face  Body,60.0,4.72,179,4
P463420,Mini Soft Glam II Eye Shadow Palette,29.0,4.36,76,4
P397498,Brush 14,18.0,4.35,326,4
P427916,Powder Bronzer,28.0,4.5,433,4
P406574,A23 Pro Brush – Large Tapered Blending Brush,25.0,4.03,330,4
P474813,Stick Cream Blush,32.0,4.62,729,4
P450845,Norvina Pro Pigment Palette Vol 2 for Face  Body,60.0,4.5,116,4
P457246,Norvina Pro Pigment Palette Vol 4 for Face  Body,60.0,4.51,144,4
P475045,Magic Touch Concealer,29.0,4.55,2717,4
P224610,Highlighting Duo Pencil,23.0,4.46,501,4
P474812,Cream Bronzer,35.0,4.54,707,4
P473261,Norvina Pro Pigment Palette Vol 5 for Face  Body,60.0,4.82,457,4
P450720,Contour  Highlight Stick,25.0,3.83,351,4
P69600,Classic Stencils,20.0,3.47,658,8
P406577,Lip Primer,16.0,4.15,270,4
P452412,Norvina Mini Pro Pigment Palette Vol 2 for Face  Body,29.0,4.33,364,4
P395205,Waterproof Crème Color,18.0,3.43,346,4
P69502,Tweezers,28.0,4.5,527,8
P471219,Brow Freeze Applicator,17.0,4.2,290,4
P463783,Insta Brow Set,25.0,3.88,26,4
P454992,Norvina Mini Pro Pigment Palette Vol 3 for Face  Body,29.0,4.47,114,6
P449149,Loose Setting Powder,38.0,4.53,824,4
P69512,Angled Cut Brush  Small 15,17.0,4.55,168,4
P468343,Tinted Lip Gloss,20.0,4.49,252,4
P420204,Liquid Glow Highlighter,25.0,4.09,178,4
P459508,Mini Dewy Set Hydrating Setting Spray,15.0,4.05,42,4
P500629,Nouveau Eyeshadow Palette,55.0,4.69,492,4
P406283,Brush 18,18.0,4.52,52,4
P452413,Norvina Mini Pro Pigment Palette Vol 1 for Face  Body,29.0,4.44,308,6
P482659,NORVINA Pro Pigment Palette Vol 6 for Face  Body,60.0,4.7,202,4
P468344,Iced Out Highlighter,34.0,4.44,546,4
P446027,Mini Eye Primer,13.0,3.69,498,4
P503051,Fluffy  Fuller Looking Brow Kit,29.0,4.17,12,4
P386784,Brush 20,18.0,4.22,55,4
P471735,"Face Palettes – All in One Bronzer, Highlighter, Blush",58.0,4.53,462,4
P478230,NORVINA Chroma Stix Makeup Pencils,18.0,4.19,242,4
P173317,Brow Primer,21.0,4.26,527,4
P446344,Shimmer Body Oil,38.0,3.81,105,1
P395206,Brush 3 Liner Brush,18.0,4.66,35,4
P449151,Liquid Liner,18.0,4.19,842,4
P503114,Rose Metals Eyeshadow Palette,55.0,4.77,22,4
P503050,Natural  Polished Deluxe Brow Kit,39.0,3.83,6,4
P477809,Primrose All In One Face  Eye Shadow Palette,55.0,4.66,406,4
P69520,Sharpener,6.0,4.12,197,8
P455981,Lash Brag JetBlack Volumizing Mascara,25.0,3.82,848,4
P503556,Mini Glam To Go Eyeshadow Palette,29.0,4.67,9,4
P503092,Fuller Looking  Sculpted Lip Duo Kit,25.0,4.0,6,4
P456591,Mini Lash Brag JetBlack Volumizing Mascara,13.0,3.74,947,4
P423923,Liquid Lipstick in Trouble,20.0,3.48,107,4
P500697,Coming Up Roses Blush  Lip Kit,50.0,5.0,4,4
P390228,Scissors,22.5,4.09,34,4
P468342,Crystal Lip Gloss,20.0,4.4,241,4
P500604,Stick Highlighter,34.0,3.54,13,4
P483069,Brow Studio Kit,29.0,4.14,7,4
P410502,Darkside Waterproof Liner,18.0,3.33,58,4
P500402,Brow Genius Conditioning Brow Serum,65.0,4.17,666,4
P470000,Norvina False Bottom Lashes,12.0,3.5,4,4
P449148,A30 Domed Kabuki Brush,24.0,4.37,678,4
P462330,Mini Loose Setting Powder,19.0,4.25,16,4
P473262,Norvina Lip Balm,18.0,4.0,5,4
P470504,Eye Brag Eyeliner  Mascara Set,29.0,3.25,8,4
P449150,Hydrating Oil,45.0,4.56,27,7
P504629,Laminated Look Brow Kit,24.0,1.19,21,4
P470001,False Top Lashes,12.0,4.29,123,4
P502229,Flip HairDrying Tool,50.0,4.9,42,3
P393401,Luminous Silk Perfect Glow Flawless OilFree Foundation,69.0,4.22,4162,4
P393411,Lip Maestro Liquid Matte Lipstick,45.0,4.37,1972,4
P425938,Mini Luminous Silk Perfect Glow Flawless OilFree Foundation,45.0,4.07,336,6
P393434,Eye Tint LongLasting Liquid Eyeshadow,36.0,4.38,955,4
P416785,Power Fabric  Longwear High Cover Foundation SPF 25,69.0,4.38,199,4
P471221,Lip Power Satin Long Lasting Lipstick,45.0,4.59,962,4
P456158,Luminous Silk Face and UnderEye Concealer,39.0,4.35,950,4
P271538,Acqua di Gioia,98.0,4.64,1050,2
P461420,My Way Eau de Parfum,155.0,4.51,1696,2
P388029,Sì Eau de Parfum,122.0,4.57,449,2
P441817,Power Fabric Concealer,40.0,4.45,870,4
P430871,Sì Passione Eau de Parfum,122.0,4.62,1249,2
P458270,Neo Nude Tinted Moisturizer with Hyaluronic Acid,48.0,4.23,1356,4
P12430,Acqua di Giò Eau de Toilette Spray,110.0,4.74,1726,2
P480151,Mini My Way  Acqua di Gioia Perfume Duo,32.0,4.61,23,2
P461421,My Way Eau de Parfum Travel Spray,34.0,4.51,1696,2
P144212,Armani Code Pour Femme,76.0,4.59,643,2
P472016,Neo Nude Color Melting Cream Blush,39.0,4.53,38,4
P449793,Luminous Silk Hydrating Makeup Primer,44.0,4.48,881,4
P393671,Eyes To Kill Lengthening Mascara,33.0,4.31,739,4
P457884,Ocean di Gioia Eau de Parfum,68.0,4.66,68,2
P475046,My Way Eau de Parfum Intense,155.0,4.58,1011,2
P439633,Acqua di Gioia Travel Spray,34.0,4.43,49,2
P469846,Luminous Silk Glow Setting Powder,64.0,4.45,418,4
P434327,Sì Passione Eau de Parfum Travel Spray,34.0,4.0,67,2
P446794,Si Fiori Eau de Parfum,76.0,4.47,92,2
P398665,Acqua Di Gio Profumo,174.0,4.66,53,2
P393672,Eyes To Kill Waterproof Mascara,33.0,4.18,131,4
P456972,Aqua di Giò Profondo Eau de Parfum Spray,160.0,4.72,988,2
P481814,Lip Maestro Mediterranea Liquid Matte Lipstick,45.0,4.34,184,4
P393669,Black Ecstasy Mascara,33.0,4.35,139,4
P472017,Mini Eyes To Kill Volumizing and Lengthening Mascara,15.0,4.0,12,4
P430348,Acqua di Gio Absolu,126.0,4.68,207,2
P421783,EMPORIO ARMANI Stronger With You,79.0,4.68,365,2
P482507,Luminous Silk Perfect Glow Flawless OilFree Foundation Customizable Set,69.0,4.75,4,4
P469176,Si Intense Eau de Parfum,158.0,4.39,23,2
P469177,Si Intense Eau de Parfum Travel Spray,34.0,4.39,23,2
P483112,My Way Floral Eau de Parfum Travel Spray,34.0,4.53,1058,2
P465302,Acqua Di Gio Pour Homme Travel Spray,42.0,4.74,1726,2
P481950,Si Passione Eclat Eau de Parfum,122.0,4.55,189,2
P503765,Lip Power LongLasting Satin Lipstick Duo Set,52.0,4.67,3,4
P483111,My Way Floral Eau de Parfum,120.0,4.53,1058,2
P482660,Acqua di Gio Eau de Parfum,160.0,4.69,862,2
P503247,Gioia Perfume Gift Set,75.0,5.0,2,2
P503243,My Way Perfume Gift Set,86.0,5.0,3,2
P465304,Acqua Di Gio Deodorant,28.0,3.67,6,1
P503246,Armani Code Parfum,144.0,4.7,249,2
P469034,Armani Code Eau de Parfum,144.0,4.7,10,2
P503244,Sì Passione Perfume Gift Set,152.0,5.0,2,2
P418389,Armani Code Colonia,88.0,4.68,332,2
P504670,Acqua di Goia Perfume Gift Set,75.0,4.29,123,2
P446790,Acqua Di Giò Absolu Instinct Eau De Parfum,102.0,4.0,6,2
P504695,Si Passione Gift Set,152.0,4.29,123,2
